Acceptor,Architecture,Construction ,SMILES,HOMO,LUMO,Gap,PCE,Voc,Joc
PC71BM,bulk,polymer,Cc1c(-c2cccs2)sc2c(C)c(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)s3)sc12,-0.194,-0.095,0.098,1.199,0.665,27.88
PC71BM,bulk,polymer,Cc1ccc(-c2csc(-c3cc(-c4ccc(C)s4)c(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)s3)c2)s1,-0.18,-0.104,0.076,1.675,0.305,84.61
PC61BM,bulk,polymer,COc1ccc(-c2nc3c(nc2-c2ccc(OC)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1,-0.176,-0.099,0.077,0.999,0.188,82.06
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc32)s1)C(=O)O,-0.198,-0.121,0.077,4.181,0.776,82.91
TiO2,DSSC,molecule,CC1(C)CC(C=Cc2ccc(N(c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)=CC(=C(C#N)C(=O)O)C1,-0.199,-0.109,0.09,2.414,0.812,45.77
PC61BM,bulk,polymer,c1csc(-c2ccsc2-c2cccs2)c1,-0.208,-0.054,0.154,0.002,1.046,0.03
PC71BM,bulk,polymer,Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)nn2)c1,-0.191,-0.097,0.095,1.362,0.609,34.48
PDI,bulk,polymer,Cn1c2ccccc2c2ccccc21,-0.205,-0.036,0.169,0.0,0.978,0.0
PC61BM,bulk,polymer,COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c7c8c(cccc8CCc7c5)n6C)s4)c3nc2-c2ccc(OC)cc2)cc1,-0.183,-0.086,0.097,0.746,0.371,31.02
PC71BM,bulk,polymer,COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)c2s1,-0.187,-0.099,0.087,1.586,0.477,51.23
PC61BM,bulk,molecule,COC(=O)N1C(=O)C2=C(c3ccc(-c4ccc(C5=S=C(C)C=C5)s4)s3)N(C(=O)OC)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-0.179,-0.111,0.068,2.125,0.274,119.48
PC61BM,bulk,polymer,C#Cc1cc2c(s1)c1sc(C#Cc3cccc4nsnc43)cc1n2C,-0.192,-0.102,0.09,1.835,0.625,45.22
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nccnc45)s3)cc21,-0.193,-0.104,0.088,2.034,0.642,48.79
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2c1c1c(c3c2C(C)(C)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(C)(C)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,-0.19,-0.108,0.082,2.426,0.568,65.68
PC71BM,bulk,polymer,Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4scc5cc(S(C)(=O)=O)sc54)sc32)s1,-0.193,-0.085,0.108,0.611,0.643,14.65
PC71BM,bulk,molecule,Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1nc2sc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)nc2s1,-0.179,-0.087,0.092,0.689,0.258,41.13
PC71BM,bulk,polymer,CC1(C)Oc2cc(-c3c4nsnc4cc(F)c3F)sc2-c2sccc21,-0.194,-0.107,0.087,2.247,0.679,50.93
PC71BM,bulk,polymer,COc1c(OC)c(-c2ccc(-c3ccc4c(c3)[Si](C)(C)c3ccccc3-4)s2)c2nsnc2c1-c1cccs1,-0.188,-0.1,0.088,1.653,0.525,48.49
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4cccs4)o3)N(C)C(=O)C2=C1c1ccco1,-0.182,-0.1,0.082,1.504,0.352,65.68
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(C=C(C#N)c4ccc(C=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.198,-0.115,0.083,3.243,0.796,62.7
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccc5nsnc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.188,-0.098,0.09,1.501,0.516,44.8
PC71BM,bulk,molecule,C[Si]1(C)c2cc(-c3cnc(-c4cc5ccccc5s4)c4nsnc43)sc2-c2sc(-c3cnc(-c4cc5ccccc5s4)c4nsnc43)cc21,-0.189,-0.124,0.065,4.732,0.551,132.28
PC71BM,bulk,polymer,Cc1csc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(-c6cc(C)cs6)s5)=C4C(=O)N3C)s2)c1,-0.179,-0.104,0.075,1.572,0.266,91.18
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3ccc(-c4c5nonc5c(-c5cccs5)c(OC)c4OC)s3)sc21,-0.188,-0.106,0.083,2.155,0.529,63.29
PC61BM,bilayer,molecule,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)cc2)s1,-0.199,-0.125,0.075,4.833,0.827,90.02
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,-0.192,-0.099,0.093,1.538,0.625,37.89
PC61BM,bulk,polymer,COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3nc2-c2ccc(OC)cc2)cc1,-0.187,-0.088,0.098,0.864,0.483,27.54
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3ccc(-c4sc(-c5cccs5)c5c4C(=O)N(C)C5=O)s3)sc21,-0.195,-0.099,0.096,1.46,0.695,32.44
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nnc(-c5cccs5)nn4)s2)cc1C3(C)C,-0.189,-0.099,0.09,1.581,0.543,44.8
PC71BM,bulk,polymer,C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,-0.194,-0.099,0.095,1.5,0.679,34.01
PC71BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c3nsnc32)c1,-0.184,-0.106,0.079,2.062,0.419,75.85
,,,Cc1csc(-c2cccc3nsnc32)c1C,-0.216,-0.096,0.12,0.495,1.278,5.96
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5cccs5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.179,-0.077,0.102,0.373,0.274,20.92
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2c1=S=C(c1sc(-c3sc(-c4nc(C)c(-c5cc(C)cs5)s4)nc3C)cc1C)C=2,-0.185,-0.093,0.092,1.098,0.434,39.3
PC61BM,bulk,polymer,CN1c2ccccc2Sc2cc(C=Cc3ccsc3-c3cccs3)ccc21,-0.183,-0.065,0.118,0.171,0.382,6.9
C60,bilayer,molecule,CN1C(=O)C2=C(c3ccc(C=Cc4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(C=Cc2ccc(C(F)(F)F)cc2)s1,-0.189,-0.12,0.069,3.95,0.541,112.29
PC71BM,bulk,polymer,Cc1ccsc1C1=NC2SC(c3sc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3C)=NC2S1,-0.192,-0.084,0.109,0.571,0.635,13.85
PC61BM,bulk,molecule,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc21)c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.177,-0.099,0.078,1.111,0.216,79.06
PC71BM,bulk,polymer,COc1c2cc(-c3cc(C=Cc4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cs3)sc2c(OC)c2ccsc21,-0.186,-0.105,0.081,2.076,0.455,70.24
TiO2,DSSC,molecule,N#CC(=Cc1sc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2c1OCCO2)C(=O)O,-0.195,-0.097,0.097,1.327,0.696,29.36
PC61BM,bulk,polymer,CC1(C)c2ccsc2-c2sc(-c3ccc(-c4nc5sc(-c6cccs6)nc5s4)s3)cc21,-0.185,-0.094,0.091,1.167,0.429,41.86
PC71BM,bulk,polymer,Cc1cc2c3cc(C)sc3c3nc4c(-c5ccc(-c6ccc7c8ccccc8n(C)c7c6)s5)ccc(-c5cccs5)c4nc3c2s1,-0.185,-0.101,0.084,1.667,0.426,60.31
PC71BM,bulk,polymer,Cc1ccc(-c2nc3cccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)c3nc2-c2ccc(C)s2)s1,-0.19,-0.088,0.103,0.78,0.58,20.71
PC61BM,bulk,molecule,COc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OC)c(OC)c5)s4)c4nsnc43)s2)cc1OC,-0.188,-0.11,0.078,2.565,0.507,78.24
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C(C#N)=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O,-0.206,-0.116,0.091,2.847,1.011,43.34
C60,bulk,molecule,CC1(C)c2cc(C=C(C#N)C#N)sc2-c2sc(C=C(C#N)C#N)cc21,-0.239,-0.149,0.09,0.0,0.0,0.0
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc21,-0.19,-0.094,0.096,1.188,0.567,32.25
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3scc4c3C(=O)N(C)C4=O)sc21,-0.193,-0.09,0.103,0.868,0.656,20.89
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4cccs4)s3)N(C)C(=O)C2=C1c1cccs1,-0.184,-0.103,0.081,1.805,0.402,69.04
PC61BM,bulk,molecule,COc1ccc(C#Cc2ccc(C#Cc3ccc(-c4ccc(-c5ccc(C#Cc6ccc(C#Cc7ccc(OC)c(OC)c7)cc6)s5)c5nsnc54)s3)cc2)cc1OC,-0.187,-0.113,0.074,3.019,0.5,93.11
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccs3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.183,-0.069,0.114,0.217,0.38,8.79
PC71BM,bulk,polymer,CC(=O)c1cc2c(csc2-c2cc3c(s2)c2sccc2c(C)c3C)s1,-0.19,-0.093,0.106,0.857,0.801,16.49
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.189,-0.109,0.08,2.561,0.545,72.34
PC61BM,bilayer,molecule,CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C#N)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,-0.191,-0.12,0.071,4.084,0.597,105.23
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc3c(-c3ccc(C)cc3)c3ccsc32)cc1,-0.182,-0.105,0.077,1.864,0.352,81.38
PC61BM,bulk,polymer,Cc1ccc(-n2c(-c3ccsc3)nc3c2c2ccc(C)cc2c2cc(C)ccc32)cc1,-0.189,-0.045,0.145,0.004,0.543,0.122
PC71BM,bulk,polymer,COC(=O)c1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,-0.195,-0.086,0.108,0.637,0.699,14.14
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4sc(-c5cccs5)c5nc(-c6ccccc6)c(-c6ccccc6)nc54)s3)cc21,-0.179,-0.103,0.076,1.504,0.271,85.48
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4cc5sc(C6=C7C(=O)N(C)C(c8cc9sccc9s8)=C7C(=O)N6C)cc5s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,-0.181,-0.107,0.074,1.956,0.322,93.43
PC71BM,bulk,polymer,Cc1cc2c3cc(C)sc3c3nc4c(cccc4-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)nc3c2s1,-0.189,-0.098,0.092,1.465,0.551,40.95
PC61BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c3nsnc32)c1,-0.186,-0.107,0.08,2.209,0.47,72.63
PC61BM,bulk,molecule,Cc1cc(C=C2C(=O)N(C)C(=O)N(C)C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)N(C)C(=O)N(C)C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,-0.188,-0.117,0.071,3.544,0.519,105.36
PC61BM,bulk,polymer,Cc1nc2c(nc1C)c(-c1ccc(-c3ccc4c5ccccc5n(C)c4c3)s1)sc2-c1cccs1,-0.178,-0.097,0.08,1.102,0.241,70.51
PC71BM,bulk,molecule,COc1c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc2c(OC)c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc21,-0.183,-0.111,0.072,2.489,0.38,100.88
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3cc4sccc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,-0.185,-0.104,0.081,1.949,0.443,67.74
PC61BM,bulk,polymer,COc1ccc(-c2nc3c(-c4scc5c4OCCO5)ccc(-c4sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5c4OCCO5)c3nc2-c2ccc(OC)cc2)cc1,-0.178,-0.08,0.098,0.406,0.24,29.62
PC71BM,bulk,polymer,COc1c(OC)c(-c2ccc(-c3ccc4c5ccccc5n(C)c4c3)s2)c2nsnc2c1-c1cccs1,-0.187,-0.099,0.088,1.596,0.497,49.5
PC61BM,bulk,polymer,COc1ccc(N(c2ccc(OC)cc2)c2cccc(-n3c4ccccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)c2)cc1,-0.179,-0.121,0.058,3.107,0.283,169.41
PC61BM,bulk,molecule,COc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,-0.185,-0.094,0.091,1.184,0.43,42.36
TiO2,DSSC,molecule,Cc1cc(C=C(C#N)C(=O)O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(N(c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ccc5c(c4)C(C)(C)c4ccccc4-5)cc3)s2)s1,-0.185,-0.108,0.077,2.332,0.43,83.53
PC61BM,bulk,polymer,Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C(C)=C3)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,-0.18,-0.097,0.083,1.167,0.295,63.28
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(C)sc(C)c5C6=O)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,-0.188,-0.096,0.092,1.356,0.527,39.69
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)cc2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.191,-0.101,0.091,1.726,0.61,43.56
PC61BM,bilayer,molecule,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,-0.188,-0.114,0.074,3.146,0.522,92.89
PC61BM,bulk,polymer,COC(=O)c1cc2c(csc2-c2sc3c(c2F)c(OC)c2scc(F)c2c3OC)s1,-0.198,-0.093,0.105,0.93,0.786,18.37
PC61BM,bulk,molecule,COc1c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2cc2c1cc1cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc1c2OC,-0.182,-0.113,0.069,2.571,0.347,114.1
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(-c2ccc3c(c2)C(C)(C)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)s1,-0.188,-0.105,0.083,2.052,0.503,62.77
PC71BM,bulk,polymer,COc1c2cc(-c3cccs3)sc2c(OC)c2ccsc21,-0.193,-0.066,0.127,0.143,0.652,3.38
PC61BM,bulk,molecule,C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc32)s1,-0.174,-0.105,0.069,0.968,0.132,114.4
TiO2,DSSC,molecule,CC1(C)c2cc(C=C(C#N)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(N5c6ccccc6Sc6ccccc65)cc4)c4ccc(N5c6ccccc6Sc6ccccc65)cc4)cc3)cc21,-0.19,-0.111,0.079,2.716,0.57,74.04
PC71BM,bulk,polymer,Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4C5(C)C)s3)nn2)c1,-0.19,-0.096,0.094,1.346,0.561,37.0
PC71BM,bulk,polymer,COc1c(OC)c(-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)s2)c2nsnc2c1-c1cccs1,-0.188,-0.1,0.088,1.652,0.521,48.87
PC61BM,bulk,polymer,COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sccc5C)s4)s3)c2s1,-0.184,-0.085,0.099,0.714,0.414,26.67
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3sc(-c4cc5sc(C=C(C#N)C(=O)O)cc5s4)c4c3OCCO4)cc2)cc1,-0.179,-0.102,0.077,1.491,0.278,82.59
PC61BM,bulk,polymer,Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6sccc6C(C)(C)C5=C4)s3)s2)sc1-c1cccs1,-0.181,-0.092,0.089,0.979,0.327,46.14
PC71BM,bulk,polymer,COc1c2sccc2c2cc(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)sc2c1OC,-0.188,-0.094,0.094,1.2,0.505,36.59
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C=Cc2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.189,-0.113,0.076,2.986,0.529,86.9
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4sc5cc(-c6ccc(-c7csc8c(C)csc78)c7nsnc76)sc5c4C)sc3c(-c3ccc(C)s3)c3ccsc32)s1,-0.185,-0.106,0.079,2.134,0.447,73.6
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21,-0.191,-0.11,0.081,2.668,0.609,67.5
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21,-0.192,-0.11,0.082,2.673,0.616,66.82
PC71BM,bulk,polymer,CC1=CC(c2cc(C)c(-c3sc(-c4cc(C)c(-c5nc6scnc6s5)s4)cc3C)s2)=S=C1,-0.187,-0.091,0.096,0.977,0.489,32.41
PC71BM,bulk,polymer,COc1cc2c3ccsc3c3sc(-c4cccc5nsnc54)cc3c2cc1OC,-0.199,-0.102,0.097,1.569,0.821,29.42
PC71BM,bulk,molecule,Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)sc1-c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,-0.179,-0.09,0.089,0.811,0.272,45.87
PC61BM,bulk,polymer,COC(=O)c1cc2csc(-c3cccs3)c2s1,-0.201,-0.08,0.122,0.296,0.876,5.2
PC61BM,bulk,polymer,COC(=O)c1sc2csc(-c3sc4c(c3F)c(OC)c3scc(F)c3c4OC)c2c1F,-0.2,-0.095,0.105,0.965,0.846,17.74
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C=C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O,-0.192,-0.105,0.087,2.108,0.62,52.35
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4ccco4)o3)N(C)C(=O)C2=C1c1ccco1,-0.181,-0.098,0.083,1.335,0.332,61.88
PC71BM,bulk,molecule,CN1C(=O)C2=C(c3ccc(C#Cc4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(C#Cc2cc3ccccc3c3ccccc23)s1,-0.184,-0.113,0.071,2.83,0.414,105.36
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3sc(C=C(C#N)C(=O)O)c4c3OCCO4)cc2)cc1,-0.185,-0.093,0.092,1.122,0.43,40.23
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s3)cc21,-0.187,-0.116,0.071,3.272,0.477,105.75
PC61BM,bulk,polymer,Cc1csc(-c2c3nsnc3c(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c(F)c2F)c1,-0.189,-0.11,0.079,2.679,0.539,76.61
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(C4=C(c5ccccc5)C(c5ccccc5)=C(c5cccs5)[Si]4(C)C)s3)cc21,-0.179,-0.085,0.095,0.629,0.282,34.42
PC71BM,bulk,polymer,Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc32)s1,-0.183,-0.106,0.077,1.99,0.373,82.17
PC61BM,bulk,polymer,C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,-0.192,-0.105,0.087,2.112,0.626,51.91
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C=Cc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.192,-0.112,0.08,2.884,0.625,71.06
PC61BM,bulk,polymer,C=Cc1cc(OC)c(C=Cc2ccc(N(c3ccccc3)c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1OC,-0.192,-0.107,0.085,2.362,0.625,58.3
